time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
100.738,0,0,0,739,61
100.774,0,0,0,738,62
100.844,0,0,0,737,63
100.901,0,0,0,736,64
100.908,0,0,0,737,63
101.247,0,0,0,738,62
101.362,0,0,0,739,61
101.474,0,0,0,740,60
101.835,0,0,0,741,59
101.974,0,0,0,742,58
102.248,0,0,0,743,57
102.252,0,0,0,742,58
102.34,0,0,0,741,59
102.455,0,0,0,740,60
102.488,0,0,0,739,61
102.813,0,0,0,738,62
103.041,0,0,0,739,61
103.066,0,0,0,740,60
103.076,0,0,0,739,61
103.128,0,0,0,740,60
103.273,0,0,0,741,59
103.303,0,0,0,740,60
103.311,0,0,0,739,61
103.756,0,0,0,740,60
103.975,0,0,0,739,61
104.126,0,0,0,740,60
104.187,0,0,0,741,59
104.243,0,0,0,742,58
104.27,0,0,0,741,59
104.325,0,0,0,742,58
104.348,0,0,0,741,59
104.374,0,0,0,740,60
104.616,0,0,0,739,61
104.618,0,0,0,738,62
104.806,0,0,0,739,61
105.27,0,0,0,740,60
105.345,0,0,0,739,61
105.558,0,0,0,740,60
105.607,0,0,0,739,61
105.643,0,0,0,740,60
105.825,0,0,0,739,61
105.897,0,0,0,738,62
106.199,0,0,0,739,61
106.383,0,0,0,738,62
106.487,0,0,0,737,63
106.648,0,0,0,736,64
106.914,0,0,0,737,63
107.027,0,0,0,736,64
107.077,0,0,0,735,65
107.464,0,0,0,734,66
107.5,0,0,0,733,67
107.537,0,0,0,734,66
107.729,0,0,0,733,67
107.76,0,0,0,734,66
108.036,0,0,0,733,67
108.527,0,0,0,734,66
108.668,0,0,0,735,65
108.808,0,0,0,734,66
108.835,0,0,0,735,65
108.996,0,0,0,736,64
109.029,0,0,0,737,63
109.147,0,0,0,736,64
109.303,0,0,0,735,65
109.545,0,0,0,736,64
109.558,0,0,0,737,63
109.56,0,0,0,738,62
109.716,0,0,0,737,63
109.835,0,0,0,738,62
109.902,0,0,0,739,61
109.978,0,0,0,740,60
110.208,0,0,0,739,61
110.401,0,0,0,738,62
110.701,0,0,0,739,61
110.741,0,0,0,740,60
110.752,0,0,0,739,61
110.793,0,0,0,740,60
110.99,0,0,0,739,61
111.038,0,0,0,738,62
111.635,0,0,0,739,61
111.723,0,0,0,738,62
111.765,0,0,0,737,63
112.033,0,0,0,736,64
112.17,0,0,0,735,65
112.237,0,0,0,736,64
112.297,0,0,0,735,65
112.454,0,0,0,736,64
112.498,0,0,0,737,63
112.76,0,0,0,736,64
112.864,0,0,0,735,65
112.895,0,0,0,736,64
112.905,0,0,0,735,65
112.964,0,0,0,736,64
113.015,0,0,0,737,63
113.461,0,0,0,738,62
113.867,0,0,0,739,61
113.882,0,0,0,740,60
114.018,0,0,0,739,61
114.065,0,0,0,740,60
114.302,0,0,0,741,59
114.383,0,0,0,740,60
114.447,0,0,0,741,59
114.711,0,0,0,740,60
114.82,0,0,0,741,59
115.274,0,0,0,740,60
115.875,0,0,0,739,61
115.989,0,0,0,740,60
116.335,0,0,0,741,59
116.568,0,0,0,740,60
116.591,0,0,0,739,61
116.622,0,0,0,738,62
116.66,0,0,0,739,61
116.936,0,0,0,740,60
117.544,0,0,0,741,59
117.583,0,0,0,740,60
117.865,0,0,0,739,61
117.921,0,0,0,738,62
118.145,0,0,0,737,63
118.174,0,0,0,736,64
118.263,0,0,0,737,63
118.626,0,0,0,738,62
118.672,0,0,0,737,63
119.173,0,0,0,736,64
119.177,0,0,0,735,65
119.519,0,0,0,736,64
119.944,0,0,0,735,65
119.95,0,0,0,734,66
120.117,0,0,0,735,65
120.263,0,0,0,736,64
120.305,0,0,0,735,65
120.464,0,0,0,734,66
120.668,0,0,0,735,65
120.672,0,0,0,734,66
120.693,0,0,0,735,65
120.801,0,0,0,736,64
120.817,0,0,0,735,65
121.256,0,0,0,734,66
121.689,0,0,0,733,67
121.77,0,0,0,734,66
122.075,0,0,0,733,67
122.311,0,0,0,732,68
122.312,0,0,0,731,69
122.609,0,0,0,732,68
122.624,0,0,0,731,69
122.784,0,0,0,732,68
122.798,0,0,0,731,69
122.816,0,0,0,730,70
122.905,0,0,0,729,71
123.245,0,0,0,730,70
123.256,0,0,0,731,69
123.324,0,0,0,732,68
123.399,0,0,0,733,67
123.434,0,0,0,734,66
123.438,0,0,0,735,65
123.452,0,0,0,736,64
123.47,0,0,0,735,65
123.63,0,0,0,736,64
123.686,0,0,0,737,63
123.901,0,0,0,738,62
124.419,0,0,0,739,61
124.717,0,0,0,740,60
124.821,0,0,0,739,61
125.038,0,0,0,738,62
125.045,0,0,0,739,61
125.289,0,0,0,740,60
125.323,0,0,0,741,59
125.657,0,0,0,740,60
125.862,0,0,0,741,59
125.864,0,0,0,742,58
125.89,0,0,0,743,57
125.967,0,0,0,742,58
126.054,0,0,0,743,57
126.078,0,0,0,744,56
126.09,0,0,0,743,57
126.095,0,0,0,742,58
126.236,0,0,0,741,59
126.245,0,0,0,742,58
126.533,0,0,0,743,57
126.863,0,0,0,742,58
126.874,0,0,0,741,59
126.942,0,0,0,740,60
127.132,0,0,0,739,61
127.419,0,0,0,740,60
127.54,0,0,0,741,59
128.213,0,0,0,740,60
128.398,0,0,0,739,61
128.591,0,0,0,740,60
128.654,0,0,0,739,61
128.777,0,0,0,740,60
129.702,0,0,0,739,61
130.139,0,0,0,740,60
130.33,0,0,0,739,61
131.02,0,0,0,740,60
131.213,0,0,0,741,59
131.366,0,0,0,742,58
131.384,0,0,0,741,59
131.392,0,0,0,740,60
131.501,0,0,0,741,59
131.687,0,0,0,742,58
132.032,0,0,0,743,57
132.088,0,0,0,742,58
132.368,0,0,0,743,57
132.413,0,0,0,744,56
132.492,0,0,0,743,57
132.591,0,0,0,744,56
132.808,0,0,0,743,57
132.978,0,0,0,742,58
133.408,0,0,0,743,57
133.426,0,0,0,742,58
133.564,0,0,0,741,59
133.598,0,0,0,742,58
133.739,0,0,0,743,57
133.767,0,0,0,742,58
134.032,0,0,0,743,57
134.093,0,0,0,742,58
134.227,0,0,0,741,59
134.248,0,0,0,742,58
134.303,0,0,0,741,59
134.738,0,0,0,740,60
134.835,0,0,0,741,59
134.858,0,0,0,740,60
135.382,0,0,0,741,59
135.396,0,0,0,742,58
135.459,0,0,0,743,57
135.469,0,0,0,744,56
135.507,0,0,0,745,55
135.569,0,0,0,746,54
135.966,0,0,0,745,55
135.969,0,0,0,744,56
136.043,0,0,0,743,57
136.133,0,0,0,742,58
136.349,0,0,0,743,57
136.491,0,0,0,742,58
136.771,0,0,0,741,59
136.886,0,0,0,740,60
137.064,0,0,0,741,59
137.138,0,0,0,742,58
137.215,0,0,0,741,59
137.655,0,0,0,742,58
137.828,0,0,0,741,59
138.242,0,0,0,742,58
138.273,0,0,0,741,59
138.367,0,0,0,740,60
138.458,0,0,0,739,61
138.466,0,0,0,738,62
138.478,0,0,0,739,61
138.489,0,0,0,738,62
138.572,0,0,0,737,63
138.637,0,0,0,738,62
138.811,0,0,0,737,63
138.937,0,0,0,738,62
139.39,0,0,0,739,61
139.519,0,0,0,738,62
140.102,0,0,0,737,63
140.151,0,0,0,736,64
140.435,0,0,0,735,65
140.516,0,0,0,734,66
140.584,0,0,0,733,67
140.674,0,0,0,734,66
140.678,0,0,0,733,67
140.722,0,0,0,732,68
140.791,0,0,0,731,69
140.834,0,0,0,732,68
140.856,0,0,0,731,69
140.923,0,0,0,732,68
140.927,0,0,0,731,69
141.236,0,0,0,732,68
141.463,0,0,0,733,67
141.783,0,0,0,734,66
141.83,0,0,0,735,65
142.026,0,0,0,734,66
142.222,0,0,0,735,65
142.671,0,0,0,734,66
142.967,0,0,0,735,65
143.203,0,0,0,734,66
143.231,0,0,0,733,67
143.397,0,0,0,734,66
143.494,0,0,0,733,67
143.559,0,0,0,734,66
143.589,0,0,0,733,67
143.688,0,0,0,734,66
143.706,0,0,0,735,65
143.781,0,0,0,734,66
144.069,0,0,0,735,65
144.128,0,0,0,736,64
144.236,0,0,0,737,63
144.41,0,0,0,736,64
144.813,0,0,0,735,65
145.321,0,0,0,734,66
145.55,0,0,0,733,67
145.776,0,0,0,732,68
145.816,0,0,0,731,69
145.908,0,0,0,732,68
146.02,0,0,0,731,69
146.056,0,0,0,732,68
146.136,0,0,0,731,69
146.431,0,0,0,730,70
146.567,0,0,0,731,69
146.609,0,0,0,730,70
146.759,0,0,0,731,69
146.799,0,0,0,730,70
146.828,0,0,0,729,71
146.838,0,0,0,730,70
147.061,0,0,0,731,69
147.289,0,0,0,732,68
147.349,0,0,0,733,67
147.497,0,0,0,734,66
147.614,0,0,0,733,67
147.887,0,0,0,734,66
148.267,0,0,0,733,67
148.347,0,0,0,732,68
148.596,0,0,0,731,69
148.695,0,0,0,730,70
148.706,0,0,0,729,71
148.76,0,0,0,728,72
148.993,0,0,0,727,73
149.016,0,0,0,726,74
149.098,0,0,0,725,75
149.103,0,0,0,726,74
149.157,0,0,0,727,73
149.426,0,0,0,728,72
149.574,0,0,0,727,73
149.763,0,0,0,728,72
149.868,0,0,0,727,73
150.152,0,0,0,726,74
150.186,0,0,0,727,73
150.219,0,0,0,726,74
150.279,0,0,0,725,75
150.535,0,0,0,724,76
