time_s,enterprise,event,freemium,mixed,premium
120.262748,2,finish,2,0,4
120.304507,2,start,2,0,4
120.463735,2,start,2,0,4
120.668034,2,finish,2,0,4
120.671775,2,start,2,0,4
120.692615,2,finish,2,0,4
120.800701,2,finish,2,0,4
120.816664,2,start,2,0,4
121.255616,2,start,2,0,4
121.689469,2,start,2,0,4
121.770483,2,finish,2,0,4
122.074811,2,start,2,0,4
122.310542,2,start,2,0,4
122.31225,2,start,3,0,3
122.608844,2,finish,3,0,3
122.623864,2,start,3,0,3
122.783584,2,finish,3,0,3
122.798112,2,start,3,0,3
122.81551,2,start,3,0,3
122.904989,2,start,3,0,3
123.24506,2,finish,3,0,3
123.255837,2,finish,3,0,3
123.324005,2,finish,3,0,3
123.398973,2,finish,3,0,3
123.433655,2,finish,3,0,3
123.438197,2,finish,3,0,3
123.452205,2,finish,3,0,3
123.469808,2,start,3,0,3
123.63041,2,finish,3,0,3
123.686115,2,finish,3,0,3
123.901078,2,finish,3,0,3
124.418681,2,finish,3,0,3
124.716735,2,finish,3,0,3
124.820656,2,start,3,0,3
125.038274,2,start,3,0,3
125.044874,2,finish,3,0,3
125.28932,2,finish,3,0,3
125.322769,2,finish,3,0,3
125.656765,2,start,3,0,3
125.861811,2,finish,3,0,3
125.864439,2,finish,3,0,3
125.889599,2,finish,3,0,3
125.96711,2,start,3,0,3
126.053944,2,finish,3,0,3
126.078197,2,finish,3,0,3
126.089656,2,start,3,0,3
126.094736,2,start,3,0,3
126.236144,2,start,3,0,3
126.244589,2,finish,3,0,3
126.532802,2,finish,3,0,3
126.862875,2,start,3,0,3
126.87352,2,start,3,0,3
126.941732,2,start,3,0,3
127.132287,2,start,3,0,3
127.418857,2,finish,3,0,3
127.54008,2,finish,3,0,3
128.212559,2,start,3,0,3
128.397558,2,start,3,0,3
128.591157,2,finish,3,0,3
128.654363,2,start,3,0,3
128.777295,2,finish,3,0,3
129.701966,2,start,3,0,3
130.138533,2,finish,3,0,3
130.330365,2,start,3,0,3
131.019566,2,finish,3,0,3
131.213312,2,finish,3,0,3
131.366194,2,finish,3,0,3
131.383655,2,start,3,0,3
131.392058,2,start,3,0,3
131.501252,2,finish,3,0,3
131.687054,2,finish,3,0,3
132.032403,2,finish,3,0,3
132.088014,2,start,3,0,3
132.36815,2,finish,3,0,3
132.413293,2,finish,3,0,3
132.491709,2,start,3,0,3
132.590971,2,finish,3,0,3
132.808232,2,start,3,0,3
132.977904,2,start,3,0,3
133.407917,2,finish,3,0,3
133.426391,2,start,3,0,3
133.56354,3,start,3,0,2
133.597672,3,finish,3,0,2
133.738678,3,finish,3,0,2
133.76683,3,start,3,0,2
